Gene_Symbol,Functional_Pathway,Human_Log2FC,Animal_Log2FC,Human_pValue,Animal_pValue
STAT1,Antiviral Defense,4.39,3.6900000000000004,0.0019078042699305774,0.003581932080703115
IFIT1,Antiviral Defense,3.8099999999999996,4.29,0.009530364292752563,0.0007636751785882522
MX1,Antiviral Defense,4.109999999999999,4.180000000000001,0.0044502370806363475,0.0010288826440502346
OAS1,Antiviral Defense,3.6599999999999997,3.5100000000000002,0.0032388276613278598,0.007364691500532518
ISG15,Antiviral Defense,3.9499999999999997,3.99,0.001008874611387039,0.0032974818408967686
IRF7,Antiviral Defense,3.7399999999999998,4.29,0.0010087888757438156,0.0005277188168329832
IRF3,Antiviral Defense,3.84,3.2,0.000679516305826042,0.000820990704307848
STAT2,Antiviral Defense,4.07,4.19,0.006533692593439819,0.003767487161870723
JAK1,Antiviral Defense,3.4299999999999997,3.6500000000000004,0.0032572464608817938,0.000515223311155391
TYK2,Antiviral Defense,4.74,4.21,0.004193750185113771,0.0010259474483125973
IFIT2,Antiviral Defense,3.3499999999999996,3.6100000000000003,0.0005623979239974159,0.002887093538416795
IFIT3,Antiviral Defense,3.25,3.14,0.011010672425474937,0.0040319458599644385
MX2,Antiviral Defense,4.32,3.22,0.005859288630064026,0.003666324446405746
OAS2,Antiviral Defense,4.16,3.97,0.0012160628757468409,0.0012618496019240735
OAS3,Antiviral Defense,4.08,4.07,0.0011020369662489901,0.004236251866695616
ISG20,Antiviral Defense,4.08,3.54,0.001107834268496771,0.0013124712771584177
BST2,Antiviral Defense,3.79,4.24,0.0015882611883814314,0.0016809047267542533
RSAD2,Antiviral Defense,3.4,3.2,0.0027317834925825635,0.004617072654997372
EIF2AK2,Antiviral Defense,3.8299999999999996,3.9200000000000004,0.00219661120034101,0.0036463214429083043
SAMHD1,Antiviral Defense,3.5,3.41,0.0015326689776618246,0.006175868232390204
TRIM22,Antiviral Defense,4.24,3.66,0.003339112621699396,0.003715439864509287
TRIM5,Antiviral Defense,3.73,3.97,0.000950703586182016,0.0030201329167617724
ZBP1,Antiviral Defense,3.4299999999999997,3.56,0.001536546536007207,0.0007950711843452314
MOV10,Antiviral Defense,3.6599999999999997,3.7800000000000002,0.0018688316546625412,0.0018752489216210602
DDX58,Antiviral Defense,3.9899999999999998,4.4,0.002326804063579325,0.0014244804435764936
IFIH1,Antiviral Defense,3.55,3.6900000000000004,0.005113808033092736,0.0013391006109872638
DHX58,Antiviral Defense,3.4299999999999997,4.33,0.0011682075863860709,0.011336928218488777
TLR3,Antiviral Defense,3.9099999999999997,3.4400000000000004,0.002666087465099383,0.001998162491120071
TLR7,Antiviral Defense,3.9099999999999997,4.19,0.0031925141639292816,0.007178165633745568
TLR8,Antiviral Defense,3.57,4.6000000000000005,0.0006426915492692256,0.0034920031572094495
MYD88,Antiviral Defense,3.59,2.84,0.00330599906194883,0.005251475758065199
